,AnimalID,SessionID,Ntrials,Protocol,Stim,FiberSide,FiberArea,StimSide,StimPort,Contralateral,InitialBias,ProgressionBlockIndex,BiasToStimMovement
517,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,454.5,8.473820757849655
518,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,459.5,12.60647381907415
519,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,464.5,17.130283342883672
520,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,469.5,15.10647381907415
521,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,474.5,13.439807152407479
522,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,479.5,9.273140485740822
523,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,484.5,5.701711914312245
524,DAopto-01,merge,616.0,merge,True,Left,tStr,Right,Center,True,,489.5,-0.1316214190210907
525,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,494.5,-3.33294608165847
526,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,499.5,-10.237707986420375
527,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,504.5,1.6670539183415443
528,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,509.5,-3.5710413197537036
529,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,514.5,3.5718158231034423
530,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,519.5,8.333720585008201
531,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,524.5,11.190863442151063
532,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,529.5,8.333720585008201
533,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,534.5,8.843924666640852
534,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,539.5,5.952768204055822
535,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,544.5,2.0071899727633067
